               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.065978,            0.017595,            0.031609,             0.57122,             0.58636,             0.55494,             0.13614,            0.051229,           0.0088441,            0.022532,            0.007822,            0.007822,            0.007822
                  57,            0.065454,            0.015673,            0.032996,             0.46844,             0.68182,              0.6252,             0.20952,            0.041877,           0.0094288,             0.02195,           0.0077824,           0.0077824,           0.0077824
                  58,            0.058792,            0.019229,            0.031812,             0.46844,             0.68182,              0.6252,             0.20952,            0.041877,           0.0094288,             0.02195,           0.0077428,           0.0077428,           0.0077428
                  59,            0.056614,            0.015957,            0.029662,             0.46844,             0.68182,              0.6252,             0.20952,            0.041877,           0.0094288,             0.02195,           0.0077032,           0.0077032,           0.0077032
                  60,            0.058076,            0.017729,            0.032315,             0.56517,             0.84725,             0.68647,             0.34398,            0.035766,           0.0096412,            0.021773,           0.0076636,           0.0076636,           0.0076636
                  61,            0.051054,            0.016989,            0.029086,             0.56517,             0.84725,             0.68647,             0.34398,            0.035766,           0.0096412,            0.021773,            0.007624,            0.007624,            0.007624
                  62,            0.053698,            0.017545,            0.030778,             0.28272,             0.62273,             0.35529,            0.096032,            0.040868,           0.0094988,            0.021798,           0.0075844,           0.0075844,           0.0075844
                  63,            0.058096,            0.014872,            0.031537,             0.28272,             0.62273,             0.35529,            0.096032,            0.040868,           0.0094988,            0.021798,           0.0075448,           0.0075448,           0.0075448
                  64,            0.066313,            0.018552,            0.032026,             0.28272,             0.62273,             0.35529,            0.096032,            0.040868,           0.0094988,            0.021798,           0.0075052,           0.0075052,           0.0075052
                  65,            0.065143,            0.018178,            0.031833,             0.43651,             0.90455,             0.56372,             0.27539,            0.035632,           0.0093407,            0.021221,           0.0074656,           0.0074656,           0.0074656
                  66,            0.059435,            0.015183,             0.02974,             0.43651,             0.90455,             0.56372,             0.27539,            0.035632,           0.0093407,            0.021221,            0.007426,            0.007426,            0.007426
                  67,            0.058691,            0.014787,            0.030594,             0.33307,                0.85,             0.62595,             0.23716,            0.039488,           0.0087835,            0.020501,           0.0073864,           0.0073864,           0.0073864
                  68,            0.061478,            0.018216,            0.031264,             0.33307,                0.85,             0.62595,             0.23716,            0.039488,           0.0087835,            0.020501,           0.0073468,           0.0073468,           0.0073468
                  69,             0.05557,            0.017357,             0.03099,             0.33307,                0.85,             0.62595,             0.23716,            0.039488,           0.0087835,            0.020501,           0.0073072,           0.0073072,           0.0073072
                  70,            0.058575,            0.015782,            0.031428,             0.23706,             0.98214,              0.3619,             0.16317,            0.032069,           0.0089829,            0.020143,           0.0072676,           0.0072676,           0.0072676
                  71,            0.059401,            0.019435,            0.030226,             0.23706,             0.98214,              0.3619,             0.16317,            0.032069,           0.0089829,            0.020143,            0.007228,            0.007228,            0.007228
                  72,            0.056389,            0.016393,            0.031583,             0.23706,             0.98214,              0.3619,             0.16317,            0.032069,           0.0089829,            0.020143,           0.0071884,           0.0071884,           0.0071884
                  73,            0.048416,            0.017153,            0.028076,             0.22985,                   1,             0.33597,             0.15711,            0.028868,           0.0090381,            0.019923,           0.0071488,           0.0071488,           0.0071488
                  74,            0.056623,            0.019619,            0.032577,             0.22985,                   1,             0.33597,             0.15711,            0.028868,           0.0090381,            0.019923,           0.0071092,           0.0071092,           0.0071092
                  75,             0.05809,            0.020036,            0.032179,             0.20966,             0.53542,             0.62823,             0.28478,             0.03703,           0.0083484,            0.019929,           0.0070696,           0.0070696,           0.0070696
