               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.064176,            0.017216,            0.031113,             0.19561,             0.79166,             0.38446,             0.11324,            0.040089,            0.010451,            0.022692,           0.0090892,           0.0090892,           0.0090892
                  48,            0.059374,              0.0168,            0.031617,             0.19561,             0.79166,             0.38446,             0.11324,            0.040089,            0.010451,            0.022692,           0.0090694,           0.0090694,           0.0090694
                  49,            0.067478,            0.018198,            0.033831,             0.31741,             0.57727,             0.34884,             0.14963,            0.055346,           0.0087348,             0.02273,           0.0090496,           0.0090496,           0.0090496
                  50,            0.076182,            0.018419,            0.033176,             0.31741,             0.57727,             0.34884,             0.14963,            0.055346,           0.0087348,             0.02273,           0.0090298,           0.0090298,           0.0090298
                  51,            0.072705,            0.015869,            0.030895,             0.31741,             0.57727,             0.34884,             0.14963,            0.055346,           0.0087348,             0.02273,             0.00901,             0.00901,             0.00901
                  52,            0.075895,            0.018697,            0.033293,              0.4035,             0.72727,             0.53504,               0.218,            0.047448,           0.0091596,             0.02239,           0.0089902,           0.0089902,           0.0089902
                  53,            0.066312,            0.015387,            0.034035,              0.4035,             0.72727,             0.53504,               0.218,            0.047448,           0.0091596,             0.02239,           0.0089704,           0.0089704,           0.0089704
                  54,            0.064569,            0.016981,            0.031001,             0.42345,             0.60461,             0.57969,             0.31493,            0.046344,           0.0090846,             0.02243,           0.0089506,           0.0089506,           0.0089506
                  55,            0.068439,            0.020942,            0.032372,             0.42345,             0.60461,             0.57969,             0.31493,            0.046344,           0.0090846,             0.02243,           0.0089308,           0.0089308,           0.0089308
                  56,            0.067978,            0.016774,            0.034076,             0.42345,             0.60461,             0.57969,             0.31493,            0.046344,           0.0090846,             0.02243,            0.008911,            0.008911,            0.008911
                  57,            0.062765,            0.015539,            0.029184,             0.60359,             0.59091,             0.59145,             0.18651,            0.043312,             0.00912,            0.022191,           0.0088912,           0.0088912,           0.0088912
                  58,            0.060612,            0.015978,            0.030583,             0.60359,             0.59091,             0.59145,             0.18651,            0.043312,             0.00912,            0.022191,           0.0088714,           0.0088714,           0.0088714
                  59,            0.060025,            0.019049,            0.030242,             0.60359,             0.59091,             0.59145,             0.18651,            0.043312,             0.00912,            0.022191,           0.0088516,           0.0088516,           0.0088516
